"","Real","Predict"
"143-22-6","0","0"
"82640-04-8","0","0"
"97-78-9","0","0"
"94-46-2","0","0"
"110-80-5","0","0"
"111-82-0","0","0"
"540-18-1","0","0"
"2058-46-0","0","0"
"2008-41-5","0","0"
"79-14-1","0","0"
"109-86-4","0","0"
"624-18-0","0","0"
"96182-53-5","0","0"
"7378-99-6","0","0"
"110-27-0","0","0"
"33693-04-8","0","0"
"328-84-7","0","0"
"623-33-6","0","0"
"999-97-3","0","0"
"137-42-8","0","0"
"5131-66-8","0","0"
"60-54-8","0","0"
"108-32-7","0","0"
"1678-91-7","0","0"
"98886-44-3","0","0"
"145742-28-5","0","0"
"6842-15-5","0","0"
"51-79-6","0","0"
"10161-33-8","0","0"
"50-78-2","0","0"
"111-69-3","0","0"
"15310-01-7","0","0"
"35691-65-7","0","0"
"291305-06-1","0","0"
"463-40-1","0","0"
"137-66-6","0","0"
"78-70-6","0","0"
"88-18-6","0","0"
"957-51-7","0","0"
"50-65-7","0","0"
"60-01-5","0","0"
"86-73-7","0","0"
"650-51-1","0","0"
"134-03-2","0","0"
"124-19-6","0","0"
"54593-83-8","0","0"
"99-99-0","0","0"
"2445-77-4","0","0"
"85-22-3","0","0"
"123-25-1","0","0"
"151-05-3","0","0"
"627-30-5","0","0"
"NOCAS_47325","0","0"
"7540-51-4","0","0"
"57-63-6","0","0"
"107-92-6","0","0"
"1634-78-2","0","0"
"617-89-0","0","0"
"1934-21-0","0","0"
"108-89-4","0","0"
"106-27-4","0","0"
"66357-35-5","0","0"
"60-51-5","0","0"
"21725-46-2","0","0"
"145701-21-9","0","0"
"113136-77-9","0","0"
"1212-29-9","0","0"
"50892-23-4","0","0"
"124-18-5","0","0"
"29122-68-7","0","0"
"556-52-5","0","0"
"NOCAS_47377","0","0"
"107-51-7","0","0"
"139-02-6","0","0"
"52806-53-8","0","0"
"1702-17-6","0","0"
"80-07-9","0","0"
"5598-15-2","0","0"
"87-41-2","0","0"
"110-91-8","0","0"
"375-95-1","0","0"
"637-07-0","0","0"
"23089-26-1","0","0"
"52-51-7","0","0"
"6893-02-3","0","0"
"27314-13-2","0","0"
"56-75-7","0","0"
"6728-26-3","0","0"
"NOCAS_47362","0","0"
"85-68-7","0","0"
"68844-77-9","0","0"
"142-19-8","0","0"
"1825-21-4","0","0"
"148-24-3","0","0"
"169590-42-5","0","0"
"579-66-8","0","0"
"108-91-8","0","0"
"102-71-6","0","0"
"139-87-7","0","0"
"3391-86-4","0","0"
"80-15-9","0","0"
"619-50-1","0","0"
"98105-99-8","0","0"
"34451-19-9","0","0"
"131-57-7","0","0"
"7786-61-0","0","0"
"2433-14-9","0","0"
"69327-76-0","0","0"
"832-69-9","0","0"
"106-43-4","0","0"
"877-24-7","0","0"
"89-04-3","0","0"
"77-06-5","0","0"
"19660-16-3","0","0"
"150-46-9","0","0"
"93-92-5","0","0"
"110-62-3","0","0"
"90-30-2","0","0"
"770-35-4","0","0"
"120-12-7","0","0"
"81334-34-1","0","0"
"473289-62-2","0","0"
"21245-02-3","0","0"
"1156-19-0","0","0"
"110-12-3","0","0"
"126-72-7","0","0"
"105-54-4","0","0"
"163515-14-8","0","0"
"53-19-0","0","0"
"1031-07-8","0","0"
"1062243-51-9","0","0"
"7011-83-8","0","0"
"79-07-2","0","0"
"4098-71-9","0","0"
"1191914-21-2","0","0"
"5137-55-3","0","0"
"69806-40-2","0","0"
"87-90-1","0","0"
"58-55-9","0","0"
"102-96-5","0","0"
"17420-30-3","0","0"
"36734-19-7","0","0"
"NOCAS_47305","0","0"
"654055-01-3","0","0"
"973-21-7","0","0"
"18172-67-3","0","0"
"95-56-7","0","0"
"171866-31-2","0","0"
"206-44-0","0","0"
"139-40-2","0","0"
"762-04-9","0","0"
"116-02-9","0","0"
"3296-90-0","0","0"
"2078-54-8","0","0"
"123-35-3","0","0"
"87-61-6","0","0"
"121552-61-2","0","0"
"4940-11-8","0","0"
"78-98-8","0","0"
"78-59-1","0","0"
"94-75-7","0","0"
"56375-79-2","0","0"
"2554-06-5","0","0"
"93-89-0","0","0"
"2648-61-5","0","0"
"125116-23-6","0","0"
"106-32-1","0","0"
"62-75-9","0","0"
"120-32-1","1","0"
"1836-75-5","1","0"
"95-83-0","1","1"
"29232-93-7","1","1"
"68694-11-1","1","1"
"97-52-9","1","1"
"86-50-0","1","1"
"6358-53-8","1","1"
"50-33-9","1","1"
"62924-70-3","1","1"
"55-38-9","1","1"
"33228-44-3","1","1"
"56-55-3","1","1"
"480-40-0","1","1"
"136042-19-8","1","1"
"94-13-3","1","1"
"82657-04-3","1","1"
"77-09-8","1","1"
"94-86-0","1","1"
"1214-39-7","1","1"
"92-87-5","1","1"
"23726-91-2","1","1"
"732-11-6","1","1"
"52-01-7","1","1"
"2243-62-1","1","1"
"79-94-7","1","1"
"129630-19-9","1","1"
"20325-40-0","1","1"
"121-75-5","1","1"
"500-38-9","1","1"
"10222-01-2","1","1"
"439687-69-1","1","1"
"101-05-3","1","1"
"120983-64-4","1","1"
"91-59-8","1","1"
"94-18-8","1","1"
"97-56-3","1","1"
"56-72-4","1","1"
"105512-06-9","1","1"
"101-77-9","1","1"
"106-50-3","1","1"
"583-78-8","1","1"
"80-09-1","1","1"
"119-93-7","1","1"
"NOCAS_48514","1","1"
"128639-02-1","1","1"
"23128-74-7","1","1"
"119-90-4","1","1"
"95-69-2","1","1"
"26172-55-4","1","1"
"842-07-9","1","1"
"17354-14-2","1","1"
"212141-51-0","1","1"
"178928-70-6","1","1"
"333-41-5","1","1"
"81-90-3","1","1"
"106-44-5","1","1"
"1912-24-9","1","1"
"1570-64-5","1","1"
"127-47-9","1","1"
"87546-18-7","1","1"
"602-01-7","1","1"
"580-51-8","1","1"
"135-88-6","1","1"
"118-79-6","1","1"
"1747-60-0","1","1"
"349495-42-7","1","1"
"1034-01-1","1","1"
"NOCAS_47248","1","1"
"99607-70-2","1","1"
"253450-09-8","1","1"
"35554-44-0","1","1"
"25311-71-1","1","1"
"88-06-2","1","1"
"210826-40-7","1","1"
"56-38-2","1","1"
"85532-75-8","1","1"
"101-37-1","1","1"
"364-76-1","1","1"
"2835-95-2","1","1"
"101-54-2","1","1"
"133855-98-8","1","1"
"33629-47-9","1","1"
"NOCAS_47330","1","1"
"99-71-8","1","1"
"95-76-1","1","1"
"58-18-4","1","1"
"2921-88-2","1","1"
"128-95-0","1","1"
"106-47-8","1","1"
"122931-48-0","1","1"
"35400-43-2","1","1"
"15299-99-7","1","1"
"950-37-8","1","1"
"79241-46-6","1","1"
"50594-66-6","1","1"
"NOCAS_47366","1","1"
"61949-76-6","1","1"
"105-67-9","1","1"
"42509-80-8","1","1"
"610-39-9","1","1"
"124-94-7","1","1"
"120-80-9","1","1"
"135-57-9","1","1"
"563-12-2","1","1"
"71283-80-2","1","1"
"290352-28-2","1","1"
"117-79-3","1","1"
"NOCAS_47349","1","1"
"67747-09-5","1","1"
"520-36-5","1","1"
"618-45-1","1","1"
"31519-22-9","1","1"
"611-20-1","1","1"
"2832-40-8","1","1"
"68555-86-2","1","1"
"117-81-7","1","1"
"2392-39-4","1","1"
"162706-14-1","1","1"
"103361-09-7","1","1"
"612-82-8","1","1"
"41481-66-7","1","1"
"199171-88-5","1","1"
"23422-53-9","1","1"
"2479-46-1","1","1"
"100-02-7","1","1"
"834-12-8","1","1"
"122-34-9","1","1"
"59-50-7","1","1"
"99-55-8","1","1"
"65277-42-1","1","1"
"31218-83-4","1","1"
"91-53-2","1","1"
"104-67-6","1","1"
"460081-99-6","1","1"
"139340-56-0","1","1"
"220860-50-4","1","1"
"99-76-3","1","1"
"2687-25-4","1","1"
"78-30-8","1","1"
"NOCAS_47299","1","1"
"120-71-8","1","1"
"80-08-0","1","1"
"2642-71-9","1","1"
"101-61-1","1","1"
"122-14-5","1","1"
"2497-06-5","1","1"
"2104-64-5","1","1"
"22781-23-3","1","1"
"99-59-2","1","1"
"NOCAS_47291","1","1"
"73-31-4","1","1"
"298-00-0","1","1"
"6152-33-6","1","1"
"94-26-8","1","1"
"676116-04-4","1","1"
