"CASRN","DTXSID","chem_name","MC","SteroidSynth","ERactivity","gentox","Consumer","Diet","Pharma","Pesticide","Industrial","HPV","U95intake","P65_Cancer","P65_Dev"
"56654-52-5","DTXSID8020418","1,3-Dibutyl-1-nitrosourea","MC",NA,NA,"positive",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"56932-45-7","DTXSID20205479","N1-(Tris(hydroxymethyl))methyl-4-nitro-1,2-phenylenediamine","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5694-00-8","DTXSID2031374","Glycidamide","MC","negative",NA,"positive",NA,"Diet_exp",NA,NA,NA,NA,"Less than 1 ug/kg/day",NA,NA
"569-61-9","DTXSID1021247","C.I. Basic Red 9 monohydrochloride","MC",NA,NA,"positive","Consumer_cp",NA,NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"57-47-6","DTXSID3023471","Physostigmine","MC",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57-63-6","DTXSID5020576","17alpha-Ethinylestradiol","MC",NA,"agonist","positive","Consumer_cp","Diet_cp","Pharma_FDA_Rx","Pesticide_cp",NA,NA,NA,"Cancer","Dev"
"57-83-0","DTXSID3022370","Progesterone","MC",NA,"weak_agonist","positive","Consumer_cp","Diet_cp","Pharma_FDA_Rx","Pesticide_cp",NA,NA,NA,"Cancer",NA
"57835-92-4","DTXSID5074844","4-Nitropyrene","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"57-97-6","DTXSID1020510","7,12-Dimethylbenz(a)anthracene","MC","E2up","not_agonist","positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"58-22-0","DTXSID8022371","Testosterone","MC",NA,NA,"no test",NA,"Diet_cp","Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer",NA
"5834-17-3","DTXSID9020825","2-Methoxy-3-aminodibenzofuran","MC",NA,NA,"no test",NA,NA,NA,"Pesticide_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,NA
"58917-67-2","DTXSID9036779","Benzo(a)pyrene diolepoxide 1","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"59-35-8","DTXSID0020496","4,6-Dimethyl-2-(5-nitro-2-furyl) pyrimidine","MC",NA,NA,"no test",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"595-33-5","DTXSID9040683","Megestrol acetate","MC",NA,NA,"positive","Consumer_cp",NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer","Dev"
"59-87-0","DTXSID5020944","Nitrofurazone","MC","negative","not_agonist","positive","Consumer_cp",NA,"Pharma_FDA_discontinued",NA,NA,NA,NA,"Cancer",NA
"602-87-9","DTXSID3020960","5-Nitroacenaphthene","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"60391-92-6","DTXSID3020251","Carboxymethylnitrosourea","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"60-57-1","DTXSID9020453","Dieldrin","MC","negative","weak_agonist","positive","Consumer_cp","Diet_cp","Pharma_cp","Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"607-57-8","DTXSID2020971","2-Nitrofluorene","MC",NA,NA,"positive",NA,NA,NA,"Pesticide_exp","Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"612-82-8","DTXSID6020511","3,3'-Dimethylbenzidine dihydrochloride","MC","E2P4up","agonist","positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"613-13-8","DTXSID2024458","2-Aminoanthracene","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day",NA,NA
"613-35-4","DTXSID9036854","N,N'-Diacetylbenzidine","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"61-57-4","DTXSID6045244","Niridazole","MC",NA,NA,"positive",NA,NA,"Pharma_cp",NA,NA,NA,NA,"Cancer",NA
"62-44-2","DTXSID1021116","Phenacetin","MC",NA,NA,"positive",NA,NA,"Pharma_cp","Pesticide_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"62450-07-1","DTXSID5043768","Trp-P-2","MC",NA,NA,"positive",NA,"Diet_naturally_occurring",NA,NA,NA,NA,NA,"Cancer",NA
"62-50-0","DTXSID6025309","Ethyl methanesulfonate","MC",NA,NA,"positive","Consumer_exp","Diet_exp",NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"63019-65-8","DTXSID8020389","N-1-Diacetamidofluorene","MC",NA,NA,"no test",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"630-20-6","DTXSID2021317","1,1,1,2-Tetrachloroethane","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"630-56-8","DTXSID6043915","Hydroxyprogesterone caproate","MC","negative","weak_agonist","no test",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,NA,NA
"636-21-5","DTXSID7021364","2-Methylaniline hydrochloride","MC",NA,"not_agonist","positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"63642-17-1","DTXSID1020851","N-(N-Methyl-N-nitrosocarbamoyl)-l-ornithine","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64-17-5","DTXSID9020584","Ethanol","MC",NA,NA,"positive","Consumer_cp_exp","Diet_FDA_cp_exp","Pharma_cp","Pesticide_cp_exp",NA,"HPV","100 ug/kg/day or more","Cancer",NA
"6459-94-5","DTXSID8021224","C.I. Acid Red 114","MC",NA,"not_agonist","positive",NA,NA,NA,"Pesticide_exp","Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"66-75-1","DTXSID8026270","Uracil mustard","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_discontinued",NA,NA,NA,NA,"Cancer","Dev_F_M"
"67-20-9","DTXSID7020972","Nitrofurantoin","MC","negative","not_agonist","positive",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,NA,"Dev_M"
"67651-34-7","DTXSID5022350","2,3,4,5-Tetrachloro-4'-biphenylol","MC",NA,NA,"no test",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"68162-13-0",NA,"Trans-7,12-Dimethylbenz(a)anthracene-3,4-dihydrodiol","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68-22-4","DTXSID9023380","Norethindrone","MC","negative","agonist","negative",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,"Cancer","Dev"
"68-23-5","DTXSID3021069","Norethynodrel","MC",NA,NA,"positive",NA,NA,"Pharma_FDA_discontinued",NA,NA,NA,NA,"Cancer",NA
"684-93-5","DTXSID4021006","N-Nitroso-N-methylurea","MC",NA,"not_agonist","positive",NA,"Diet_exp",NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"7008-42-6","DTXSID0020026","Acronycine","MC",NA,NA,"no test",NA,NA,"Pharma_cp",NA,NA,NA,NA,NA,NA
"712-68-5","DTXSID7020059","2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"71-43-2","DTXSID3039242","Benzene","MC",NA,NA,"positive","Consumer_cp_exp","Diet_FDA_cp_exp",NA,"Pesticide_cp","Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer","Dev_M"
"71-58-9","DTXSID0025527","Medroxyprogesterone acetate","MC",NA,NA,"negative","Consumer_cp","Diet_cp","Pharma_FDA_Rx","Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day","Cancer","Dev"
"71609-22-8","DTXSID60221855","N-Hydroxy-N,N'-diacetylbenzidine","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"720-69-4","DTXSID7020396","4,6-Diamino-2-(5-nitro-2-furyl)-s-triazine","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72254-58-1","DTXSID5021417","Trp-P-2 acetate","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72-33-3","DTXSID0020814","Mestranol","MC","negative","agonist","positive",NA,NA,"Pharma_FDA_discontinued",NA,NA,NA,NA,"Cancer","Dev"
"72479-23-3","DTXSID50222775","1-Nitroso-1-ethyl-3-methylurea","MC",NA,NA,"no test",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"7496-02-8","DTXSID9075454","6-Nitrochrysene","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"75-01-4","DTXSID8021434","Vinyl chloride","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp_exp",NA,"Pesticide_cp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"75-02-5","DTXSID3021435","Vinyl fluoride","MC",NA,NA,"positive","Consumer_cp","Diet_cp_exp",NA,NA,"Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"75-07-0","DTXSID5039224","Acetaldehyde","MC","negative",NA,"positive","Consumer_cp","Diet_FDA_cp_exp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"75-09-2","DTXSID0020868","Dichloromethane","MC",NA,NA,"positive","Consumer_cp","Diet_FDA_cp_exp",NA,"Pesticide_exp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"75198-31-1","DTXSID0020947","3-(5-Nitro-2-furyl)-imidazo(1,2-alpha) pyridine","MC",NA,NA,"no test",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"75-21-8","DTXSID0020600","Ethylene oxide","MC",NA,NA,"positive","Consumer_cp","Diet_FDA_cp_exp",NA,"Pesticide_cp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer","Dev_F_M"
"75321-20-9","DTXSID5074975","1,3-Dinitropyrene","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"75-35-4","DTXSID8021438","1,1-Dichloroethylene","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp_exp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"75-52-5","DTXSID2020977","Nitromethane","MC",NA,NA,"positive","Consumer_cp_exp","Diet_exp",NA,"Pesticide_cp","Industrial_exp","HPV","Less than 1 ug/kg/day","Cancer",NA
"75-55-8","DTXSID8024286","Propyleneimine","MC",NA,NA,"positive",NA,"Diet_exp",NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"75-56-9","DTXSID5021207","1,2-Propylene oxide","MC",NA,NA,"positive","Consumer_cp","Diet_FDA_cp_exp",NA,"Pesticide_cp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"759-73-9","DTXSID8020593","1-Ethyl-1-nitrosourea","MC",NA,NA,"positive",NA,NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"760-56-5","DTXSID3020049","1-Allyl-1-nitrosourea","MC",NA,NA,"no test",NA,"Diet_exp",NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"76-06-2","DTXSID0020315","Chloropicrin","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp",NA,"Pesticide_cp_exp","Industrial_exp","HPV","Between 1 to 100 ug/kg/day",NA,NA
"76180-96-6","DTXSID4020745","2-Amino-3-methyl-3H-imidazo[4,5-f]quinoline","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"77094-11-2","DTXSID6020800","MeIQ","MC",NA,NA,"positive",NA,"Diet_naturally_occurring",NA,NA,NA,NA,NA,"Cancer",NA
"77439-76-0","DTXSID6020276","3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone","MC",NA,NA,"positive",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"77-46-3","DTXSID1021295","4,4'-Sulfonylbisacetanilide","MC",NA,NA,"negative",NA,NA,"Pharma_cp",NA,NA,NA,NA,NA,NA
"77500-04-0","DTXSID1020801","MeIQx","MC",NA,NA,"positive",NA,"Diet_naturally_occurring",NA,NA,NA,NA,NA,"Cancer",NA
"78587-05-0","DTXSID7024299","Hexythiazox","MC","E2P4up","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"78-79-5","DTXSID2020761","Isoprene","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp_exp",NA,NA,"Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"78-87-5","DTXSID0020448","1,2-Dichloropropane","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp_exp",NA,"Pesticide_cp_exp","Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"79-01-6","DTXSID0021383","Trichloroethylene","MC",NA,NA,"positive","Consumer_exp","Diet_FDA_cp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer","Dev_M"
"79-06-1","DTXSID5020027","Acrylamide","MC","negative","not_agonist","positive","Consumer_cp","Diet_cp_exp",NA,NA,NA,"HPV","100 ug/kg/day or more","Cancer","Dev_M"
"80-05-7","DTXSID7020182","Bisphenol A","MC","E2up","agonist","positive","Consumer_cp_exp","Diet_cp_exp",NA,"Pesticide_cp",NA,"HPV","Between 1 to 100 ug/kg/day",NA,"Dev_F"
"8015-12-1","DTXSID7021071","Norlestrin","MC",NA,NA,"negative",NA,NA,"Pharma_FDA_Rx",NA,NA,NA,NA,NA,NA
"82617-23-0","DTXSID801002821","Oxiran-2-yl hydrogen carbonimidate","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83349-67-1",NA,"Anti-1,2,3,10b-tetrahydrofluoranthene-2,3-diol 1,10b-oxide","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"834-24-2","DTXSID001019381","4-aminostilbene","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"838-88-0","DTXSID5020867","4,4'-Diamino-3,3'-dimethyldiphenylmethane","MC","P4up","weak_agonist","positive",NA,NA,NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"843-23-2",NA,"Trans-n-hydroxy-4-acetylaminostilbene","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"869-01-2","DTXSID2020214","N-Butyl-N-nitrosourea","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"87625-62-5","DTXSID20892005","Ptaquiloside","MC",NA,NA,"positive",NA,"Diet_naturally_occurring",NA,NA,NA,NA,NA,NA,NA
"88133-11-3","DTXSID7020132","Bemitradine","MC",NA,NA,"negative",NA,NA,"Pharma_cp","Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"88-72-2","DTXSID4025791","2-Nitrotoluene","MC","negative","not_agonist","positive","Consumer_exp",NA,NA,NA,"Industrial_exp","HPV","Less than 1 ug/kg/day","Cancer",NA
"91-94-1","DTXSID6020432","3,3'-Dichlorobenzidine","MC",NA,NA,"positive","Consumer_cp",NA,NA,NA,"Industrial_exp","HPV","Less than 1 ug/kg/day","Cancer",NA
"92-67-1","DTXSID5020071","4-Biphenylamine","MC",NA,NA,"positive","Consumer_cp_exp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"92-87-5","DTXSID2020137","Benzidine","MC","E2P4up","weak_agonist","positive",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day","Cancer",NA
"93-15-2","DTXSID5025607","Methyleugenol","MC","E2up","not_agonist","negative","Consumer_cp_exp","Diet_FDA_cp_exp",NA,"Pesticide_cp_exp",NA,NA,"100 ug/kg/day or more","Cancer",NA
"95-06-7","DTXSID7021289","Sulfallate","MC",NA,NA,"positive","Consumer_exp",NA,NA,"Pesticide_cp_exp","Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"95-53-4","DTXSID1026164","2-Methylaniline","MC","negative","not_agonist","positive","Consumer_cp_exp","Diet_cp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"95-80-7","DTXSID4020402","2,4-Diaminotoluene","MC","P4up","not_agonist","positive","Consumer_cp_exp","Diet_cp_exp",NA,NA,"Industrial_exp","HPV","Between 1 to 100 ug/kg/day","Cancer",NA
"96-09-3","DTXSID2021286","Styrene oxide","MC","negative","not_agonist","positive","Consumer_cp_exp","Diet_cp_exp",NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"96-12-8","DTXSID3020413","1,2-Dibromo-3-chloropropane","MC",NA,NA,"positive","Consumer_exp","Diet_cp",NA,"Pesticide_cp","Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer","Dev_M"
"96-13-9","DTXSID7021817","2,3-Dibromopropanol","MC",NA,NA,"positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"96-18-4","DTXSID9021390","1,2,3-Trichloropropane","MC","negative","not_agonist","positive","Consumer_cp_exp","Diet_cp",NA,NA,"Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"96724-44-6","DTXSID5020609","1-Ethylnitroso-3-(2-hydroxyethyl)urea","MC",NA,NA,"no test",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"96724-45-7","DTXSID6020725","1-(2-Hydroxyethyl)-nitroso-3-ethylurea","MC",NA,NA,"no test",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"97-56-3","DTXSID1020069","o-Aminoazotoluene","MC","E2P4up","agonist","positive",NA,NA,NA,"Pesticide_cp","Industrial_exp",NA,"Between 1 to 100 ug/kg/day","Cancer",NA
"979-32-8","DTXSID8023004","Estradiol valerate","MC",NA,NA,"no test","Consumer_cp",NA,"Pharma_FDA_Rx",NA,NA,NA,NA,NA,NA
"98-95-3","DTXSID3020964","Nitrobenzene","MC","negative","not_agonist","positive","Consumer_cp","Diet_cp",NA,"Pesticide_exp","Industrial_exp","HPV","Less than 1 ug/kg/day","Cancer","Dev_M"
"99-59-2","DTXSID0020943","5-Nitro-o-anisidine","MC","P4up","not_agonist","positive",NA,NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day",NA,NA
"various","DTXSID9024069","2,4-/2,6-Dinitrotoluene mixture","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,"Cancer",NA
"X",NA,"4'OH-PCB-61","MC",NA,NA,"no test",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62-73-7","DTXSID5020449","Dichlorvos","MC","P4up","not_agonist","positive","Consumer_cp_exp","Diet_cp","Pharma_cp","Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"122-34-9","DTXSID4021268","Simazine","MC","E2P4up","not_agonist","negative","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,"HPV","Less than 1 ug/kg/day",NA,"Dev_F"
"133-07-3","DTXSID0021385","Folpet","MC","negative","not_agonist","positive","Consumer_cp_exp","Diet_cp_exp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"139-40-2","DTXSID3021196","Propazine","MC","E2up","not_agonist","negative","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,"Dev_F"
"15972-60-8","DTXSID1022265","Alachlor","MC","negative","not_agonist","positive","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,"HPV","Less than 1 ug/kg/day","Cancer",NA
"55335-06-3","DTXSID0032497","Triclopyr","MC","negative","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"55406-53-6","DTXSID0028038","3-Iodo-2-propynyl-N-butylcarbamate","MC","negative","not_agonist","negative","Consumer_cp","Diet_cp_exp",NA,"Pesticide_cp_exp","Industrial_exp","HPV","Between 1 to 100 ug/kg/day",NA,NA
"5915-41-3","DTXSID4027608","Terbutylazine","MC","E2P4up","weak_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,NA
"732-11-6","DTXSID5024261","Phosmet","MC","P4up","not_agonist","positive","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"129-73-7","DTXSID7031531","Leucomalachite green","MC",NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA
"1420-04-8","DTXSID3020338","Clonitralid","MC",NA,NA,"no test",NA,NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"532-27-4","DTXSID9020293","2-Chloroacetophenone","MC","negative","weak_agonist","positive","Consumer_exp",NA,NA,NA,"Industrial_exp",NA,"Between 1 to 100 ug/kg/day",NA,NA
"569-64-2","DTXSID1025512","Malachite green","MC","negative",NA,"positive","Consumer_cp",NA,NA,"Pesticide_cp","Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"57117-31-4","DTXSID7030066","2,3,4,7,8-Pentachlorodibenzofuran","MC",NA,NA,"no test",NA,NA,NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"7336-20-1","DTXSID2020397","4,4'-Diamino-2,2'-stilbenedisulfonic acid, disodium salt","MC",NA,NA,"negative",NA,NA,NA,NA,"Industrial_exp","HPV","Less than 1 ug/kg/day",NA,NA
"75-34-3","DTXSID1020437","1,1-Dichloroethane","MC",NA,NA,"positive","Consumer_cp_exp","Diet_cp",NA,NA,"Industrial_exp","HPV","100 ug/kg/day or more","Cancer",NA
"97-54-1","DTXSID7022413","Isoeugenol","MC","E2P4up","weak_agonist","positive","Consumer_cp","Diet_FDA_cp_exp",NA,NA,"Industrial_exp",NA,"Less than 1 ug/kg/day",NA,NA
"834-12-8","DTXSID1023869","Ametryn","MC","E2P4up","not_agonist","positive","Consumer_cp_exp","Diet_cp",NA,"Pesticide_cp_exp",NA,"HPV","Between 1 to 100 ug/kg/day",NA,NA
"65277-42-1","DTXSID7029879","Ketoconazole",NA,"P4up","not_agonist","no test","Consumer_cp","Diet_exp","Pharma_FDA_Rx_OTC",NA,NA,NA,"Less than 1 ug/kg/day",NA,NA
"76578-14-8","DTXSID9023889","Quizalofop-ethyl",NA,"E2P4up","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,"Dev_M"
"122-39-4","DTXSID4021975","Diphenylamine",NA,"E2P4up","not_agonist","positive","Consumer_cp_exp","Diet_cp_exp",NA,"Pesticide_cp_exp",NA,"HPV","Between 1 to 100 ug/kg/day",NA,NA
"15299-99-7","DTXSID5024211","Napropamide",NA,"P4up","not_agonist","no test","Consumer_cp","Diet_cp_exp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"23950-58-5","DTXSID2020420","Propyzamide",NA,"E2up","not_agonist","no test","Consumer_cp","Diet_cp_exp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day","Cancer",NA
"1007-28-9","DTXSID0037495","Deisopropylatrazine",NA,"E2P4up","not_agonist","negative",NA,"Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,"Dev_F"
"68694-11-1","DTXSID2032500","Triflumizole",NA,"P4up","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,NA
"76738-62-0","DTXSID2024242","Paclobutrazol",NA,"E2up","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"87818-31-3","DTXSID3034456","Cinmethylin",NA,"E2up","weak_agonist","no test","Consumer_cp_exp",NA,NA,"Pesticide_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"52-68-6","DTXSID0021389","Trichlorfon",NA,"negative","weak_agonist","positive","Consumer_cp_exp","Diet_cp","Pharma_cp","Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"105512-06-9","DTXSID6032354","Clodinafop-propargyl",NA,"E2P4up","not_agonist","no test","Consumer_cp","Diet_exp",NA,"Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,NA
"126833-17-8","DTXSID3032549","Fenhexamid",NA,"P4up","agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"122-14-5","DTXSID4032613","Fenitrothion",NA,"E2P4up","not_agonist","positive","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"23422-53-9","DTXSID4032405","Formetanate hydrochloride",NA,"E2P4up","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"709-98-8","DTXSID8022111","Propanil",NA,"P4up","not_agonist","negative","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,"HPV","Less than 1 ug/kg/day",NA,NA
"95737-68-1","DTXSID1032640","Pyriproxyfen",NA,"E2up","weak_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"950-37-8","DTXSID5020819","Methidathion",NA,"P4up","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"79538-32-2","DTXSID5032577","Tefluthrin",NA,"E2up","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,NA,"Less than 1 ug/kg/day",NA,NA
"51-03-6","DTXSID1021166","Piperonyl butoxide",NA,"E2up","not_agonist","negative","Consumer_cp_exp","Diet_cp","Pharma_FDA_discontinued","Pesticide_cp_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,NA
"333-41-5","DTXSID9020407","Diazinon",NA,"E2P4up","weak_agonist","negative","Consumer_cp_exp","Diet_cp","Pharma_cp","Pesticide_cp_exp",NA,"HPV","Less than 1 ug/kg/day",NA,NA
"115-29-7","DTXSID1020560","Endosulfan",NA,"negative","weak_agonist","positive","Consumer_cp","Diet_cp_exp",NA,"Pesticide_cp_exp",NA,"HPV","Less than 1 ug/kg/day",NA,NA
"50594-66-6","DTXSID0020022","Acifluorfen",NA,"E2P4up","not_agonist","no test","Consumer_cp","Diet_cp",NA,"Pesticide_cp_exp",NA,"HPV","Less than 1 ug/kg/day",NA,NA
"6153-64-6","DTXSID4023412","Oxytetracycline dihydrate",NA,"P4up","not_agonist","no test",NA,"Diet_exp",NA,"Pesticide_exp",NA,NA,"Between 1 to 100 ug/kg/day",NA,NA
